Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Odzilaayé Creek,Little Squaw Creek,31134.0,stream,AZ,"Maricopa, Yavapai","BLM, FS",419.0,,review listed,34.0208672,-112.1615486,34.0689231,-112.0045984,Black Canyon City,Odzilaayé Creek,Little Squaw Creek,31134.0,stream,AZ,"Maricopa, Yavapai","BLM, FS",419.0,,review listed,34.020867200000005,-112.1615486,34.068923100000006,-112.00459840000002,Black Canyon City,Odzilaayé Creek,Little Squaw Creek,31134.0,stream,AZ,"Maricopa, Yavapai","BLM, FS",419.0,,review listed,34.020867200000005,-112.1615486,34.068923100000006,-112.00459840000002,Black Canyon City
Iiyá Draw,Middle Fork Squaw Creek,31811.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1239224,-111.9601528,34.1850324,-111.9334858,Cooks Mesa,Iiyá Draw,Middle Fork Squaw Creek,31811.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1239224,-111.96015279999999,34.1850324,-111.9334858,Cooks Mesa,Iiyá Draw,Middle Fork Squaw Creek,31811.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1239224,-111.9601528,34.1850324,-111.9334858,Cooks Mesa
Gosgą Creek,North Fork Squaw Creek,32370.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1253109,-112.0012651,34.1703104,-111.953764,Joes Hill,Gosgą Creek,North Fork Squaw Creek,32370.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1253109,-112.00126509999998,34.1703104,-111.95376399999999,Joes Hill,Gosgą Creek,North Fork Squaw Creek,32370.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1253109,-112.00126509999998,34.1703104,-111.953764,Joes Hill
Tudigis Creek,South Fork Squaw Creek,34668.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.1197558,-111.9593195,34.0702778,-111.9738889,Cooks Mesa,Tudigis Creek,South Fork Squaw Creek,34668.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.11975579999999,-111.9593195,34.0702778,-111.97388889999999,Cooks Mesa,Tudigis Creek,South Fork Squaw Creek,34668.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.11975579999999,-111.9593195,34.0702778,-111.9738889,Cooks Mesa
Ledni Líí Creek,Squaw Creek,34767.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.0861443,-112.1121024,34.1125343,-111.8904287,Squaw Creek Mesa,Ledni Líí Creek,Squaw Creek,34767.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.086144299999994,-112.1121024,34.1125343,-111.8904287,Squaw Creek Mesa,Ledni Líí Creek,Squaw Creek,34767.0,stream,AZ,Yavapai,FS,419.0,,review listed,34.086144299999994,-112.1121024,34.1125343,-111.8904287,Squaw Creek Mesa
Hósh Flat,Squaw Creek Mesa,34768.0,summit,AZ,Yavapai,BLM| FS,419.0,,review listed,34.069756,-112.0596004,,,Squaw Creek Mesa,Hósh Flat,Squaw Creek Mesa,34768.0,summit,AZ,Yavapai,BLM| FS,419.0,,review listed,34.069756,-112.0596004,,,Squaw Creek Mesa,Hósh Flat,Squaw Creek Mesa,34768.0,summit,AZ,Yavapai,BLM| FS,419.0,,review listed,34.069756,-112.0596004,,,Squaw Creek Mesa
Boner Wash,,,stream,AZ,Mohave,BLM,402.0,,review listed,34.7388888,-113.6038888,34.7875,-113.437,Wikieup,Boner Wash,,,stream,AZ,Mohave,BLM,402.0,,review listed,34.7388888,-113.60388880000001,34.7875,-113.43700000000001,Wikieup,Boner Wash,,,stream,AZ,Mohave,BLM,402.0,,review listed,34.7388888,-113.6038888,34.7875,-113.437,Wikieup
Delunga Peak,Squaw Valley Peak,235328.0,summit,CA,Plumas,FS,416.0,,review listed,40.0285114,-120.4013256,,,Ross Canyon,Delunga Peak,Squaw Valley Peak,235328.0,summit,CA,Plumas,FS,416.0,,review listed,40.0285114,-120.4013256,,,Ross Canyon,Delunga Peak,Squaw Valley Peak,235328.0,summit,CA,Plumas,FS,416.0,,review listed,40.0285114,-120.4013256,,,Ross Canyon
Da-ek Dow Go-et Peak,Jeff Davis Peak,261917.0,summit,CA,Alpine,FS,430.0,,review listed,38.63671,-119.8966,,,Carson Pass,Da-ek Dow Go-et Peak,Jeff Davis Peak,261917.0,summit,CA,Alpine,FS,430.0,,review listed,38.63671,-119.8966,,,Carson Pass,Da-ek Dow Go-et Peak,Jeff Davis Peak,261917.0,summit,CA,Alpine,FS,430.0,,review listed,38.63671,-119.8966,,,Carson Pass
Damalusung Lake,Squaw Lake,267634.0,lake,CA,Sierra,FS,416.0,,review listed,39.6688679,-120.6526031,,,Gold Lake,Damalusung Lake,Squaw Lake,267634.0,lake,CA,Sierra,FS,416.0,,review listed,39.6688679,-120.6526031,,,Gold Lake,Damalusung Lake,Squaw Lake,267634.0,lake,CA,Sierra,FS,416.0,,review listed,39.6688679,-120.6526031,,,Gold Lake
Seshme Creek,Squaw Queen Creek,267638.0,stream,CA,Plumas,FS,416.0,,review listed,40.0572113,-120.5722829,39.9996228,-120.3785465,Babcock Peak,Seshme Creek,Squaw Queen Creek,267638.0,stream,CA,Plumas,FS,416.0,,review listed,40.0572113,-120.57228290000002,39.9996228,-120.37854650000001,Babcock Peak,Seshme Creek,Squaw Queen Creek,267638.0,stream,CA,Plumas,FS,416.0,,review listed,40.0572113,-120.57228290000002,39.9996228,-120.3785465,Babcock Peak
Delmooah Valley,Squaw Valley,1654967.0,valley,CA,Plumas,FS,416.0,,review listed,40.0471201,-120.5566097,39.9874006,-120.3968804,Babcock Peak,Delmooah Valley,Squaw Valley,1654967.0,valley,CA,Plumas,FS,416.0,,review listed,40.0471201,-120.55660970000001,39.9874006,-120.3968804,Babcock Peak,Delmooah Valley,Squaw Valley,1654967.0,valley,CA,Plumas,FS,416.0,,review listed,40.0471201,-120.5566097,39.9874006,-120.3968804,Babcock Peak
Oakland Hills,Berkeley Hills (in part),1658038.0,range,CA,"Alameda, Contra Costa",,428.0,,review listed,37.850087,-122.192367,,,Oakland East,Oakland Hills,Berkeley Hills (in part),1658038.0,range,CA,"Alameda, Contra Costa",,428.0,,review listed,37.850087,-122.19236699999999,,,Oakland East,Oakland Hills,Berkeley Hills (in part),1658038.0,range,CA,"Alameda, Contra Costa",,428.0,,review listed,37.850087,-122.192367,,,Oakland East
Monardella Gulch,,,arroyo,CA,San Diego,,429.0,,review listed,32.57694,-116.74333,32.57139,-116.71583,Tecate,Monardella Gulch,,,arroyo,CA,San Diego,,429.0,,review listed,32.57694,-116.74333,32.57139,-116.71583000000001,Tecate,Monardella Gulch,,,arroyo,CA,San Diego,,429.0,,review listed,32.57694,-116.74333,32.57139,-116.71583,Tecate
Mount Mistanta,Squaw Mountain,182066.0,summit,CO,Clear Creek,FS,429.0,,review listed,39.6794327,-105.4927747,,,Squaw Pass,Mount Mistanta,Squaw Mountain,182066.0,summit,CO,Clear Creek,FS,429.0,,review listed,39.67943270000001,-105.4927747,,,Squaw Pass,Mount Mistanta,Squaw Mountain,182066.0,summit,CO,Clear Creek,FS,429.0,,review listed,39.67943270000001,-105.4927747,,,Squaw Pass
Nottingham Lake,Benchmark Lake Reservoir,200543.0,reservoir,CO,Eagle,,432.0,,review listed,39.6373231,-106.5303121,,,Edwards,Nottingham Lake,Benchmark Lake Reservoir,200543.0,reservoir,CO,Eagle,,432.0,,review listed,39.6373231,-106.5303121,,,Edwards,Nottingham Lake,Benchmark Lake Reservoir,200543.0,reservoir,CO,Eagle,,432.0,,review listed,39.6373231,-106.5303121,,,Edwards
Mount Cheyenne Arapaho,Mount Evans,204716.0,summit,CO,Clear Creek,FS,432.0,,review listed,39.588228,-105.643716,,,Mount Evans,Mount Cheyenne Arapaho,Mount Evans,204716.0,summit,CO,Clear Creek,FS,432.0,,review listed,39.588228,-105.643716,,,Mount Evans,Mount Cheyenne Arapaho,Mount Evans,204716.0,summit,CO,Clear Creek,FS,432.0,,review listed,39.588228,-105.643716,,,Mount Evans
Pine Meadows Lake,Pine Meadows Park Pond,209790.0,reservoir,CT,New London,,433.0,,review listed,41.5413846,-72.3891497,,,Moodus,Pine Meadows Lake,Pine Meadows Park Pond,209790.0,reservoir,CT,New London,,433.0,,review listed,41.5413846,-72.3891497,,,Moodus,Pine Meadows Lake,Pine Meadows Park Pond,209790.0,reservoir,CT,New London,,433.0,,review listed,41.5413846,-72.3891497,,,Moodus
Robbie Burn,,,stream,CT,Windham,,423.0,,review listed,41.7195449,-72.0381932,41.7095933,-72.0318464,Scotland,Robbie Burn,,,stream,CT,Windham,,423.0,,review listed,41.719544899999995,-72.03819320000001,41.709593299999995,-72.0318464,Scotland,Robbie Burn,,,stream,CT,Windham,,423.0,,review listed,41.7195449,-72.03819320000002,41.7095933,-72.0318464,Scotland
Indian Creek,Indian Creek,284496.0,stream,FL,Walton,,403.0,,review listed,30.6491666,-86.0861111,30.6875,-86.0738888,De Funiak Springs,Indian Creek,Indian Creek,284496.0,stream,FL,Walton,,403.0,,review listed,30.6491666,-86.0861111,30.6875,-86.07388879999999,De Funiak Springs,Indian Creek,Indian Creek,284496.0,stream,FL,Walton,,403.0,,review listed,30.6491666,-86.0861111,30.6875,-86.07388879999998,De Funiak Springs
Euchee Creek,Indian Creek,284496.0,stream,FL,Walton,,410.0,,review listed,30.6510245,-86.0535498,30.6855556,-86.0675,DeFuniak Springs,Euchee Creek,Indian Creek,284496.0,stream,FL,Walton,,410.0,,review listed,30.6510245,-86.0535498,30.685555600000004,-86.0675,DeFuniak Springs,Euchee Creek,Indian Creek,284496.0,stream,FL,Walton,,410.0,,review listed,30.6510245,-86.0535498,30.685555600000004,-86.0675,DeFuniak Springs
San Pablo Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",410.0,,review listed,30.158236,-81.385556,,,Palm Valley,San Pablo Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",410.0,,review listed,30.158236,-81.38555600000001,,,Palm Valley,San Pablo Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",410.0,,review listed,30.158236,-81.38555600000002,,,Palm Valley
Veterans Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",412.0,,review listed,30.158236,-81.385556,,,Palm Valley,Veterans Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",412.0,,review listed,30.158236,-81.38555600000001,,,Palm Valley,Veterans Island,,,island,FL,"Duval, Saint Johns","NOAA, USCG, USACE, DoD",412.0,,review listed,30.158236,-81.38555600000002,,,Palm Valley
Lake Powell,,,ppl,FL,Bay,,425.0,,review listed,30.280114,-85.973296,,,Seminole Hills,Lake Powell,,,ppl,FL,Bay,,425.0,,review listed,30.280114,-85.97329599999999,,,Seminole Hills,Lake Powell,,,ppl,FL,Bay,,425.0,,review listed,30.280114,-85.97329599999998,,,Seminole Hills
Lorelei Swamp,,,swamp,FL,Orange,,433.0,,review listed,28.5274,-80.9623,,,Titusville SW,Lorelei Swamp,,,swamp,FL,Orange,,433.0,,review listed,28.5274,-80.9623,,,Titusville SW,Lorelei Swamp,,,swamp,FL,Orange,,433.0,,review listed,28.5274,-80.9623,,,Titusville SW
Burntpot Creek,Runaway Negro Creek,322000.0,stream,GA,Chatham,,432.0,,review listed,31.976603,-81.0462222,31.9633333,-81.0558333,Isle of Hope,Burntpot Creek,Runaway Negro Creek,322000.0,stream,GA,Chatham,,432.0,,review listed,31.976603000000004,-81.0462222,31.9633333,-81.0558333,Isle of Hope,Burntpot Creek,Runaway Negro Creek,322000.0,stream,GA,Chatham,,432.0,,review listed,31.976603000000004,-81.0462222,31.9633333,-81.0558333,Isle of Hope
Druid Hill,,,summit,GA,DeKalb,,427.0,,review listed,33.81375,-84.30418,,,Northeast Atlanta,Druid Hill,,,summit,GA,DeKalb,,427.0,,review listed,33.81375,-84.30418,,,Northeast Atlanta,Druid Hill,,,summit,GA,DeKalb,,427.0,,review listed,33.81375,-84.30418,,,Northeast Atlanta
John Henry Creek,,,stream,GA,Cobb,,432.0,,review listed,34.03108,-84.66911,34.02062,-84.67903,Acworth,John Henry Creek,,,stream,GA,Cobb,,432.0,,review listed,34.031079999999996,-84.66911,34.02062,-84.67903000000001,Acworth,John Henry Creek,,,stream,GA,Cobb,,432.0,,review listed,34.03108,-84.66911,34.02062,-84.67903000000003,Acworth
Roberson Creek,,,stream,ID,Owyhee,BLM,432.0,,review listed,42.656593,-115.704554,42.658785,-115.728184,Crowbar Gulch,Roberson Creek,,,stream,ID,Owyhee,BLM,432.0,,review listed,42.656593,-115.704554,42.658784999999995,-115.72818400000001,Crowbar Gulch,Roberson Creek,,,stream,ID,Owyhee,BLM,432.0,,review listed,42.656593,-115.704554,42.658785,-115.728184,Crowbar Gulch
Mt' mt' o' lmkhw Wetland,,,swamp,ID,Benewah,FWS,401.0,,review listed,47.3105555,-116.5544444,,,Saint Maries,Mt' mt' o' lmkhw Wetland,,,swamp,ID,Benewah,FWS,401.0,,review listed,47.3105555,-116.55444440000001,,,Saint Maries,Mt' mt' o' lmkhw Wetland,,,swamp,ID,Benewah,FWS,401.0,,review listed,47.3105555,-116.5544444,,,Saint Maries
Lamanna Lake,,,lake,"ID, Canada-BC",Boundary,FS,416.0,,review listed,48.9989223,-117.0023792,,,Salmo Mountain,Lamanna Lake,,,lake,"ID, Canada-BC",Boundary,FS,416.0,,review listed,48.9989223,-117.00237920000001,,,Salmo Mountain,Lamanna Lake,,,lake,"ID, Canada-BC",Boundary,FS,416.0,,review listed,48.9989223,-117.0023792,,,Salmo Mountain
Seclude Cove,,,bay,MD,Anne Arundel,,431.0,,review listed,39.086248,-76.536598,,,Round Bay,Seclude Cove,,,bay,MD,Anne Arundel,,431.0,,review listed,39.086248,-76.536598,,,Round Bay,Seclude Cove,,,bay,MD,Anne Arundel,,431.0,,review listed,39.086248,-76.536598,,,Round Bay
Eagle Island,Squaw Island,638673.0,island,MI,Charlevoix,NOAA,431.0,,review listed,45.8369401,-85.586759,,,Garden Island West,Eagle Island,Squaw Island,638673.0,island,MI,Charlevoix,NOAA,431.0,,review listed,45.8369401,-85.586759,,,Garden Island West,Eagle Island,Squaw Island,638673.0,island,MI,Charlevoix,NOAA,431.0,,review listed,45.8369401,-85.586759,,,Garden Island West
Loch Plater,,,lake,MI,Jackson,,425.0,,review listed,42.1227003,-84.1827173,,,Onsted,Loch Plater,,,lake,MI,Jackson,,425.0,,review listed,42.1227003,-84.1827173,,,Onsted,Loch Plater,,,lake,MI,Jackson,,425.0,,review listed,42.1227003,-84.1827173,,,Onsted
Canfield Bay,Canfield Portage Bay,660952.0,bay,MN,St. Louis,FS,417.0,,review listed,47.880748,-92.2918207,,,Sioux Pine Island,Canfield Bay,Canfield Portage Bay,660952.0,bay,MN,St. Louis,FS,417.0,,review listed,47.880748,-92.2918207,,,Sioux Pine Island,Canfield Bay,Canfield Portage Bay,660952.0,bay,MN,St. Louis,FS,417.0,,review listed,47.880748,-92.2918207,,,Sioux Pine Island
Fujita Island,,,island,MN,St. Louis,NPS,417.0,,review listed,48.5497116,-92.8706414,,,Kempton Bay,Fujita Island,,,island,MN,St. Louis,NPS,417.0,,review listed,48.5497116,-92.87064140000001,,,Kempton Bay,Fujita Island,,,island,MN,St. Louis,NPS,417.0,,review listed,48.5497116,-92.8706414,,,Kempton Bay
Mount Northrop,,,summit,MN,Lake,FS,423.0,,review listed,48.058436,-91.054634,,,Ogishkemuncie Lake,Mount Northrop,,,summit,MN,Lake,FS,423.0,,review listed,48.058436,-91.054634,,,Ogishkemuncie Lake,Mount Northrop,,,summit,MN,Lake,FS,423.0,,review listed,48.058436,-91.054634,,,Ogishkemuncie Lake
Ahern Creek,O'Hearn Creek,788369.0,stream,MT,Sweet Grass,FS,419.0,,review listed,46.2166164,-110.1707428,46.2085575,-110.2785229,"Rein Lake, Loco Mountain",Ahern Creek,O'Hearn Creek,788369.0,stream,MT,Sweet Grass,FS,419.0,,review listed,46.2166164,-110.17074280000001,46.2085575,-110.2785229,"Rein Lake, Loco Mountain",Ahern Creek,O'Hearn Creek,788369.0,stream,MT,Sweet Grass,FS,419.0,,review listed,46.2166164,-110.1707428,46.2085575,-110.2785229,"Rein Lake, Loco Mountain"
Steinberg Creek,Kyke Creek,801897.0,stream,MT,Ravalli,FS,432.0,,review listed,45.6543624,-114.2036945,45.6763889,-114.2058333,Piquett Mountain,Steinberg Creek,Kyke Creek,801897.0,stream,MT,Ravalli,FS,432.0,,review listed,45.654362400000004,-114.20369450000001,45.6763889,-114.20583329999998,Piquett Mountain,Steinberg Creek,Kyke Creek,801897.0,stream,MT,Ravalli,FS,432.0,,review listed,45.6543624,-114.2036945,45.6763889,-114.20583329999998,Piquett Mountain
Klatt Reservoir,Kelly Reservoir,806350.0,reservoir,MT,Madison,FS,427.0,,review listed,44.9630156,-111.7660479,,,Big Horn Mountain,Klatt Reservoir,Kelly Reservoir,806350.0,reservoir,MT,Madison,FS,427.0,,review listed,44.9630156,-111.7660479,,,Big Horn Mountain,Klatt Reservoir,Kelly Reservoir,806350.0,reservoir,MT,Madison,FS,427.0,,review listed,44.9630156,-111.7660479,,,Big Horn Mountain
Mount Waldstein,,,summit,MT,Stillwater,FS,428.0,,review listed,45.38765,-109.8291,,,Nye,Mount Waldstein,,,summit,MT,Stillwater,FS,428.0,,review listed,45.38765,-109.8291,,,Nye,Mount Waldstein,,,summit,MT,Stillwater,FS,428.0,,review listed,45.38765,-109.8291,,,Nye
Wolden Ridge,,,ridge,MT,Missoula,FS,429.0,,review listed,46.918164,-113.729155,,,Sunflower Mountain,Wolden Ridge,,,ridge,MT,Missoula,FS,429.0,,review listed,46.918164000000004,-113.729155,,,Sunflower Mountain,Wolden Ridge,,,ridge,MT,Missoula,FS,429.0,,review listed,46.918164,-113.729155,,,Sunflower Mountain
Shirley Mountain,,,summit,MT,Powell,,430.0,,review listed,46.942588,-112.805704,,,Moose Creek,Shirley Mountain,,,summit,MT,Powell,,430.0,,review listed,46.942588,-112.805704,,,Moose Creek,Shirley Mountain,,,summit,MT,Powell,,430.0,,review listed,46.942588,-112.805704,,,Moose Creek
Chippys Channel,,,stream,NC,Currituck,NOAA,433.0,,review listed,36.293886,-75.808139,36.294526,-75.805105,Mossey Islands,Chippys Channel,,,stream,NC,Currituck,NOAA,433.0,,review listed,36.293886,-75.808139,36.294526,-75.80510500000001,Mossey Islands,Chippys Channel,,,stream,NC,Currituck,NOAA,433.0,,review listed,36.293886,-75.808139,36.294526,-75.80510500000003,Mossey Islands
Moose Antler Falls,,,falls,NH,Grafton,FS,433.0,,review listed,44.20333,-71.63548,,,Franconia,Moose Antler Falls,,,falls,NH,Grafton,FS,433.0,,review listed,44.20333,-71.63548,,,Franconia,Moose Antler Falls,,,falls,NH,Grafton,FS,433.0,,review listed,44.20333,-71.63548,,,Franconia
Chiricahua Gap,,,gap,NM,"Grant, Hidalgo","BLM, FS",,,received,32.07,-108.606,,,see comments,Chiricahua Gap,,,gap,NM,"Grant, Hidalgo","BLM, FS",,,received,32.07,-108.60600000000001,,,see comments,Chiricahua Gap,,,gap,NM,"Grant, Hidalgo","BLM, FS",,,received,32.07,-108.606,,,see comments
North Fork Eagle Creek,Eagle Creek (in part),,stream,NM,Lincoln,FS,433.0,,review listed,33.39258,-105.7244304,33.403475,-105.771354,"Angus, Nogal Peak",North Fork Eagle Creek,Eagle Creek (in part),,stream,NM,Lincoln,FS,433.0,,review listed,33.39258,-105.7244304,33.403475,-105.771354,"Angus, Nogal Peak",North Fork Eagle Creek,Eagle Creek (in part),,stream,NM,Lincoln,FS,433.0,,review listed,33.39258,-105.7244304,33.403475,-105.771354,"Angus, Nogal Peak"
Smalls Peak,Jeff Davis Peak,862412.0,summit,NV,White Pine,NPS,429.0,,review listed,38.9885849,-114.2970356,,,Wheeler Peak,Smalls Peak,Jeff Davis Peak,862412.0,summit,NV,White Pine,NPS,429.0,,review listed,38.9885849,-114.29703559999999,,,Wheeler Peak,Smalls Peak,Jeff Davis Peak,862412.0,summit,NV,White Pine,NPS,429.0,,review listed,38.9885849,-114.2970356,,,Wheeler Peak
Carson Peak,South Dix,965737.0,summit,NY,Essex,,401.0,,review listed,44.06,-73.7741666,,,Dix Mountain,Carson Peak,South Dix,965737.0,summit,NY,Essex,,401.0,,review listed,44.06,-73.7741666,,,Dix Mountain,Carson Peak,South Dix,965737.0,summit,NY,Essex,,401.0,,review listed,44.06,-73.7741666,,,Dix Mountain
Taylor Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.76561,-74.97578,42.766683,-74.992852,Richfield Springs,Taylor Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.765609999999995,-74.97578,42.766683,-74.992852,Richfield Springs,Taylor Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.76561,-74.97578,42.766683,-74.992852,Richfield Springs
West Branch Fly Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.75861,-74.97302,42.80204,-74.98059,Richfield Springs,West Branch Fly Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.75861,-74.97301999999999,42.802040000000005,-74.98059,Richfield Springs,West Branch Fly Creek,,,stream,NY,Otsego,OTHER,430.0,,review listed,42.75861,-74.97301999999998,42.80204000000001,-74.98059,Richfield Springs
Tripp Creek,,,stream,NY,Otsego,,430.0,,review listed,42.73249,-74.97583,42.75257,-74.95959,"Cooperstown, Richfield Springs",Tripp Creek,,,stream,NY,Otsego,,430.0,,review listed,42.732490000000006,-74.97583,42.75257,-74.95959,"Cooperstown, Richfield Springs",Tripp Creek,,,stream,NY,Otsego,,430.0,,review listed,42.73249000000001,-74.97583,42.75257,-74.95959,"Cooperstown, Richfield Springs"
Muskrat Pond Outlet,,,stream,NY,Otsego,,430.0,,review listed,42.77358,-74.96694,42.77184,-74.95725,Richfield Springs,Muskrat Pond Outlet,,,stream,NY,Otsego,,430.0,,review listed,42.773579999999995,-74.96694000000001,42.771840000000005,-74.95725,Richfield Springs,Muskrat Pond Outlet,,,stream,NY,Otsego,,430.0,,review listed,42.77358,-74.96694000000002,42.77184000000001,-74.95725,Richfield Springs
Seaborg Creek,,,stream,NY,Chemung,,431.0,,review listed,42.005679,-76.787851,42.017241,-76.770926,Elmira,Seaborg Creek,,,stream,NY,Chemung,,431.0,,review listed,42.005679,-76.787851,42.017241,-76.770926,Elmira,Seaborg Creek,,,stream,NY,Chemung,,431.0,,review listed,42.005679,-76.787851,42.017241,-76.770926,Elmira
Bear Track Creek,,,stream,NY,Chemung,,431.0,,review listed,42.013,-76.77844,42.010312,-76.769525,Elmira,Bear Track Creek,,,stream,NY,Chemung,,431.0,,review listed,42.013000000000005,-76.77844,42.010312,-76.769525,Elmira,Bear Track Creek,,,stream,NY,Chemung,,431.0,,review listed,42.01300000000001,-76.77844,42.010312,-76.769525,Elmira
Chives Trickle,,,stream,NY,Chemung,,431.0,,review listed,42.01382,-76.77725,42.01554,-76.77656,Elmira,Chives Trickle,,,stream,NY,Chemung,,431.0,,review listed,42.01382,-76.77725,42.01554,-76.77656,Elmira,Chives Trickle,,,stream,NY,Chemung,,431.0,,review listed,42.01382,-76.77725,42.01554,-76.77656,Elmira
Merriam Stream,,,stream,NY,Chemung,,431.0,,review listed,42.01283,-76.79364,42.02342,-76.77682,Elmira,Merriam Stream,,,stream,NY,Chemung,,431.0,,review listed,42.01283,-76.79364,42.02342,-76.77682,Elmira,Merriam Stream,,,stream,NY,Chemung,,431.0,,review listed,42.01283,-76.79364,42.02342,-76.77682,Elmira
Berry Creek,,,stream,NY,"Chemung, Steuben",,431.0,,review listed,42.025779,-76.957324,42.064372,-76.968795,Seeley Creek,Berry Creek,,,stream,NY,"Chemung, Steuben",,431.0,,review listed,42.025779,-76.957324,42.064372,-76.968795,Seeley Creek,Berry Creek,,,stream,NY,"Chemung, Steuben",,431.0,,review listed,42.025779,-76.957324,42.064372,-76.968795,Seeley Creek
Minnow Creek,,,stream,NY,Chemung,,431.0,,review listed,42.02817,-76.954,42.04138,-76.95022,Seeley Creek,Minnow Creek,,,stream,NY,Chemung,,431.0,,review listed,42.02817,-76.954,42.04138,-76.95022,Seeley Creek,Minnow Creek,,,stream,NY,Chemung,,431.0,,review listed,42.02817,-76.954,42.04138,-76.95022,Seeley Creek
Trump Island,,,island,NY,Chemung,,432.0,,review listed,42.012477,-76.780106,,,Elmira,Trump Island,,,island,NY,Chemung,,432.0,,review listed,42.012477000000004,-76.780106,,,Elmira,Trump Island,,,island,NY,Chemung,,432.0,,review listed,42.012477,-76.780106,,,Elmira
Pickering Creek,,,stream,OH,"Franklin, Fairfield",,429.0,,review listed,39.8672,-82.83196,39.9301,-82.73551,"Canal Winchester, Reynoldsburg, Pataskala",Pickering Creek,,,stream,OH,"Franklin, Fairfield",,429.0,,review listed,39.8672,-82.83196,39.9301,-82.73550999999999,"Canal Winchester, Reynoldsburg, Pataskala",Pickering Creek,,,stream,OH,"Franklin, Fairfield",,429.0,,review listed,39.8672,-82.83196,39.9301,-82.73550999999998,"Canal Winchester, Reynoldsburg, Pataskala"
Mingwe Run,,,stream,OH,Fairfield,,429.0,,review listed,39.90278,-82.77114,39.9205,-82.73719,"Reynoldsburg, Pataskala",Mingwe Run,,,stream,OH,Fairfield,,429.0,,review listed,39.90278,-82.77114,39.9205,-82.73719,"Reynoldsburg, Pataskala",Mingwe Run,,,stream,OH,Fairfield,,429.0,,review listed,39.90278,-82.77114,39.9205,-82.73719,"Reynoldsburg, Pataskala"
Fort Towson Creek,Negro Creek,1095766.0,stream,OK,Choctaw,,433.0,,review listed,34.0078838,-95.2644444,34.0411111,-95.2816667,Fort Towson,Fort Towson Creek,Negro Creek,1095766.0,stream,OK,Choctaw,,433.0,,review listed,34.0078838,-95.2644444,34.0411111,-95.2816667,Fort Towson,Fort Towson Creek,Negro Creek,1095766.0,stream,OK,Choctaw,,433.0,,review listed,34.0078838,-95.2644444,34.0411111,-95.2816667,Fort Towson
LaSarge Creek,Sarge Creek,1097840.0,stream,OK,Osage,USACE,416.0,,review listed,36.757864,-96.799197,36.7736111,-96.7697222,Kaw City,LaSarge Creek,Sarge Creek,1097840.0,stream,OK,Osage,USACE,416.0,,review listed,36.757864,-96.79919699999999,36.773611100000004,-96.7697222,Kaw City,LaSarge Creek,Sarge Creek,1097840.0,stream,OK,Osage,USACE,416.0,,review listed,36.757864,-96.799197,36.7736111,-96.7697222,Kaw City
LaSarge Creek Cove,Sarge Creek Cove,1763644.0,bay,OK,Osage,USACE,416.0,,review listed,36.7602617,-96.8092456,,,Kaw City,LaSarge Creek Cove,Sarge Creek Cove,1763644.0,bay,OK,Osage,USACE,416.0,,review listed,36.7602617,-96.80924559999998,,,Kaw City,LaSarge Creek Cove,Sarge Creek Cove,1763644.0,bay,OK,Osage,USACE,416.0,,review listed,36.7602617,-96.80924559999998,,,Kaw City
